n0,beta,b,r2,n_puntos,realista
0.3,0.05,1.5946764212532323,0.6784448545321563,460,True
0.3,0.1,2.89060289493926,0.8903219302762309,540,True
0.3,0.15,2.5892514450923394,0.9828906123489652,580,True
0.3,0.2,2.467273401841787,0.9931413428769633,523,True
0.3,0.25,2.4220557885581613,0.9961077503717969,487,True
0.35,0.05,1.9992542828145459,0.8115842641347661,548,True
0.35,0.1,2.678252495602816,0.9041177539381606,574,True
0.35,0.15,2.5496673782284853,0.986371008658454,562,True
0.35,0.2,2.443479889316198,0.9933400296940845,539,True
0.35,0.25,2.4122487005356814,0.9954481398452439,507,True
0.4,0.05,2.0560040378199984,0.8395265115137854,598,True
0.4,0.1,2.6403408090111413,0.9343568562661141,587,True
0.4,0.15,2.509718382664053,0.9880339958806628,543,True
0.4,0.2,2.4154126760035903,0.9933938169785795,540,True
0.4,0.25,2.3989812301940336,0.9955990005732299,495,True
0.45,0.05,2.1700550154182996,0.8015904970095772,582,True
0.45,0.1,2.631276282315551,0.9658460578126721,596,True
0.45,0.15,2.5008298355838066,0.9880783159112078,554,True
0.45,0.2,2.4213878268467046,0.9931536918841783,527,True
0.45,0.25,2.390213715698257,0.9956679245079694,496,True
0.5,0.05,2.420017541248674,0.8050858508375349,528,True
0.5,0.1,2.564321568511866,0.9677041966573017,578,True
0.5,0.15,2.4708888234513915,0.9873328671891449,553,True
0.5,0.2,2.41532878778046,0.9935265953991869,525,True
0.5,0.25,2.374981748013213,0.9950416594942566,498,True
